,Query,URL,score,Ranking,QL_rank,DCG,NDCG
297,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.sfchronicle.com/business/article/The-H-1B-visa-in-the-age-of-Trump-A-golden-13015356.php,-88.1324110039274,2.0,0,2.0,0.5
289,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.ciodive.com/news/how-6-tech-companies-reacted-to-trumps-immigration-order/435001/,-90.60596217541614,2.0,1,4.0,0.5
290,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.cnbc.com/2016/11/23/analysts-think-trump-should-try-this-search-how-google-works.html,-90.61320291960295,2.0,2,5.2618595071429155,0.5
281,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.businessinsider.com/google-ceo-sundar-pichai-comments-on-immigration-2018-1,-94.3757045135875,4.0,3,7.2618595071429155,0.6039611786099482
299,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.moneycontrol.com/news/business/companies/trump-amends-h1b-rules-entry-level-techies-to-be-hit-hardest-2252229.html,-95.9488104967742,2.0,4,8.123212623289701,0.6100455042607974
285,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.nytimes.com/2017/04/23/world/asia/india-trump-america.html,-96.00220139202958,1.0,5,8.510065430524243,0.5878616256021807
296,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.vanityfair.com/news/2017/04/bad-for-the-us-silicon-valley-slams-trumps-work-visa-crackdown,-97.0600381880724,3.0,6,9.57868699184831,0.6306447189561131
287,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.business-standard.com/article/companies/h1b-reform-bill-seeks-to-expand-annual-quota-move-may-hurt-indian-it-firms-118012600992_1.html ,-97.72892839098677,2.0,7,10.245353658514976,0.646174887734245
283,Sundar pichai's views on H-1B visa policy by the Trump Government,https://techcrunch.com/2017/01/28/google-ceo-sundar-pichai-fears-impact-of-trump-immigration-order-recalls-staff/,-98.68749460600915,4.0,8,11.507213165657891,0.6979856407113576
293,Sundar pichai's views on H-1B visa policy by the Trump Government,https://qz.com/india/1279732/h-1b-visa-rejects-return-to-india-leaving-their-american-dreams-behind/,-98.71748531969286,1.0,9,11.808243161321872,0.6910101844184756
280,Sundar pichai's views on H-1B visa policy by the Trump Government,https://m.economictimes.com/nri/visa-and-immigration/trumps-new-disruptive-h-1b-visa-move-can-be-a-boon-for-india/articleshow/62365964.cms,-99.04701450208013,2.0,10,12.386372813957648,0.70112175707982
292,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.livemint.com/Politics/8guEQHASl8AscQVYS2M8mO/Why-Donald-Trumps-curbs-on-H1B-visas-are-good-for-Tim-Cook.html ,-107.95232316326943,1.0,11,12.665315759608777,0.6949650094723571
282,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.bloomberg.com/news/articles/2017-01-28/google-recalls-some-staff-to-u-s-after-trump-immigration-order,-108.93315241628113,3.0,12,13.476030222890737,0.7181520790339455
295,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.latimes.com/business/technology/la-fi-tn-silicon-valley-immigration-20170128-story.html ,-109.62629959684106,3.0,13,14.263978828002317,0.7496499472808538
286,Sundar pichai's views on H-1B visa policy by the Trump Government,https://ejournals.bc.edu/index.php/elements/article/download/9606/8848/ ,-110.72491188550917,0.0,14,14.263978828002317,0.7396995157931209
288,Sundar pichai's views on H-1B visa policy by the Trump Government,https://time.com/4728289/canada-welcomes-tech-companies-spooked-trump/ ,-110.72491188550917,0.0,15,14.263978828002317,0.7302324415990875
284,Sundar pichai's views on H-1B visa policy by the Trump Government,https://economictimes.indiatimes.com/nri/visa-and-immigration/trumps-new-disruptive-h-1b-visa-move-can-be-a-boon-for-india/articleshow/62365964.cms ,-110.72491188550917,2.0,16,14.753279912238769,0.7459391517524019
291,Sundar pichai's views on H-1B visa policy by the Trump Government,https://knowledge.wharton.upenn.edu/article/how-curtailing-temporary-h-1b-visas-could-benefit-indian-professionals/,-110.72491188550917,1.0,17,14.993092378806901,0.7489827695128135
294,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.independent.co.uk/news/world/americas/donald-trump-muslim-ban-google-recalls-staff-immigration-facebook-mark-zuckerberg-tech-silicon-a7550876.html,-110.72491188550917,4.0,18,15.934728032273455,0.7960223569299031
298,Sundar pichai's views on H-1B visa policy by the Trump Government,https://insights.dice.com/2018/02/26/h-1b-policy-limits-abuse-specialty-occupation/ ,-110.72491188550917,1.0,19,16.166106245433213,0.807580899391916
