,Query,URL,score,Ranking,QL_rank,DCG,NDCG
69,Gladiator Russell Crowe Quotes,https://quotecatalog.com/quotes/movies/gladiator/,-51.68351583095103,3.0,0,3.0,0.75
57,Gladiator Russell Crowe Quotes,https://www.bustle.com/articles/79042-every-pop-culture-reference-comes-from-russell-crowes-gladiator-because-fans-of-the-film-were,-52.869470129774285,3.0,1,6.0,0.75
54,Gladiator Russell Crowe Quotes,https://www.moviequotes.com/s-movie/gladiator,-54.31412410607975,2.0,2,7.2618595071429155,0.6900468833579672
68,Gladiator Russell Crowe Quotes,https://www.moviequotes.com/s-movie/gladiator/,-54.31412410607975,4.0,3,9.261859507142916,0.7395454574298492
60,Gladiator Russell Crowe Quotes,https://www.news.com.au/entertainment/movies/gladiator-things-you-never-knew-about-the-2000-film/news-story/300619d8bbcb4526a71ec54a1ebb0085,-54.57648837054725,1.0,4,9.69253606521631,0.6803486416737075
62,Gladiator Russell Crowe Quotes,https://www.moviequotesandmore.com/gladiator-quotes/,-55.22084538693776,4.0,5,11.239947294154476,0.7295358738708307
63,Gladiator Russell Crowe Quotes,https://www.quotes.net/movies/gladiator_4541,-56.27066751143644,4.0,6,12.664776042586565,0.7686986830582485
66,Gladiator Russell Crowe Quotes,https://www.imdb.com/title/tt0172495/characters/nm0000128,-57.000182336167256,3.0,7,13.664776042586565,0.7819343515173804
55,Gladiator Russell Crowe Quotes,https://www.moviemistakes.com/film541/quotes,-59.16103926933259,4.0,8,14.92663554972948,0.8102614082724471
67,Gladiator Russell Crowe Quotes,https://www.imdb.com/title/tt0172495/characters/nm0001618,-60.1216658150268,3.0,9,15.829725536721424,0.8191281728614921
70,Gladiator Russell Crowe Quotes,http://quoteshub.weebly.com/gladiator.html,-60.6324914387928,4.0,10,16.985984841992977,0.8412116513334391
64,Gladiator Russell Crowe Quotes,https://en.wikiquote.org/wiki/Gladiator_(2000_film),-60.654964294644856,3.0,11,17.822813678946368,0.858923733751468
59,Gladiator Russell Crowe Quotes,https://matthewwarner.com/2019/01/apropos-quotes-from-gladiator/,-61.26110009821517,2.0,12,18.363289987801007,0.8625050425461844
58,Gladiator Russell Crowe Quotes,https://www.newsmax.com/fastfeatures/russell-crowe-role-maximus-iconic/2015/03/29/id/630509/,-61.731103727460905,1.0,13,18.625939522838202,0.8537764013370467
56,Gladiator Russell Crowe Quotes,https://www.telegraph.co.uk/culture/film/oscars/9093656/Oscars-Best-lines-in-winning-Best-Films.html?image=10,-61.95424727877513,0.0,14,18.625939522838202,0.8438755370949598
65,Gladiator Russell Crowe Quotes,https://www.pinterest.com/stephenridyard/gladiator-quotes/,-62.64739445933506,3.0,15,19.375939522838202,0.8680236171547775
61,Gladiator Russell Crowe Quotes,http://www.destinationhollywood.com/celebrities/russellcrowe/famouslines_content.shtml ,-65.13230110912305,2.0,16,19.865240607074654,0.8899438392176128
