,Query,URL,score,Ranking,QL_rank,DCG,NDCG
150,Bill Simmons Roger Goodell,https://grantland.com/the-triangle/roger-goodell-need-to-step-down/,-51.43212059785411,2.0,0,2.0,0.5
144,Bill Simmons Roger Goodell,https://www.si.com/nfl/2014/09/25/espn-bill-simmons-roger-goodell-suspension,-52.32169394138954,3.0,1,5.0,0.625
151,Bill Simmons Roger Goodell,http://www.slate.com/articles/sports/sports_nut/2014/09/bill_simmons_suspended_yes_he_called_roger_goodell_a_liar_but_here_s_the.html,-52.807445927603425,4.0,2,7.52371901428583,0.7149296749630493
145,Bill Simmons Roger Goodell,https://www.npr.org/2014/09/25/351529416/espn-suspends-bill-simmons-for-roger-goodell-comments,-52.93894902800227,4.0,3,9.523719014285831,0.7604545425701508
160,Bill Simmons Roger Goodell,https://www.cbssports.com/nfl/news/espn-suspends-bill-simmons-for-calling-roger-goodell-a-liar/,-54.750841757692015,4.0,4,11.246425246579403,0.7894208583503917
147,Bill Simmons Roger Goodell,https://www.hollywoodreporter.com/news/6-times-bill-simmons-pissed-794527,-55.026689372496804,1.0,5,11.633278053813944,0.7365707547907684
157,Bill Simmons Roger Goodell,https://www.indystar.com/story/sports/nfl/2014/09/25/espn-suspends-bill-simmons-over-roger-goodell-rant/16196641/,-55.307856763927404,4.0,6,13.058106802246034,0.7583692831244172
146,Bill Simmons Roger Goodell,https://www.vanityfair.com/hollywood/2016/06/bill-simmons-espn-hbo,-55.439534587902585,3.0,7,14.058106802246034,0.7577677822062583
148,Bill Simmons Roger Goodell,https://awfulannouncing.com/2015/bill-simmons-comes-out-swinging-at-espn-roger-goodell-in-new-podcast.html,-55.65162830303022,4.0,8,15.319966309388949,0.773194511617838
152,Bill Simmons Roger Goodell,https://bleacherreport.com/articles/2210190-espn-suspends-bill-simmons-for-comments-made-about-roger-goodell,-55.79620953184131,4.0,9,16.524086292044874,0.7861881982667265
143,Bill Simmons Roger Goodell,https://bleacherreport.com/articles/2210190-espn-suspends-bill-simmons-for-comments-made-about-roger-goodel,-55.79620953184131,4.0,10,17.680345597316425,0.797337257483626
158,Bill Simmons Roger Goodell,https://www.thedailybeast.com/no-room-for-bill-simmons-in-the-espn-machine,-56.01935308315552,4.0,11,18.796117379920943,0.8168294865300717
149,Bill Simmons Roger Goodell,https://www.sbnation.com/nfl/2014/9/24/6841451/bill-simmons-espn-suspension-roger-goodel,-57.62570932905221,4.0,12,19.877069997630223,0.8344073974784991
155,Bill Simmons Roger Goodell,https://www.complex.com/sports/2014/09/espn-bill-simmons-blasts-roger-goodell-audio,-57.705752036725755,4.0,13,20.927668137778998,0.8503818924066706
142,Bill Simmons Roger Goodell,https://digg.com/video/bill-simmons-roger-goodell-comments-that-got-him-suspended,-58.32990634579875,1.0,14,21.183626162588812,0.8432419892663771
156,Bill Simmons Roger Goodell,https://www.thebiglead.com/posts/disney-espn-could-never-get-over-bill-simmons-calling-roger-goodell-a-liar-01dmarvcskfp,-59.65166218578106,0.0,15,21.183626162588812,0.834933087941173
159,Bill Simmons Roger Goodell,https://twitter.com/billsimmons/status/557773722485268480?lang=en,-59.89055409406342,0.0,16,21.183626162588812,0.8269589907571834
161,Bill Simmons Roger Goodell,https://wjla.com/sports/sports-talk/bill-simmons-suspended-by-espn-over-roger-goodell-comments-107500,-63.05285956744322,4.0,17,22.142876028861338,0.8644058516113284
153,Bill Simmons Roger Goodell,https://www.washingtonpost.com/,-64.43915392856312,0.0,18,22.142876028861338,0.8644058516113284
154,Bill Simmons Roger Goodell,https://www.huffpost.com/entry/bill-simmons-roger-goodell-grantland-podcast_n_563b8924e4b0307f2cac5ae5,-65.13230110912305,3.0,19,22.837010668340614,0.8915032369460041
