,Query,URL,score,Ranking,QL_rank,DCG,NDCG
96,Gandhi's views on truth,https://en.wikiquote.org/wiki/Mahatma_Gandhi,-40.49089480860988,0.0,0,0.0,0.0
105,Gandhi's views on truth,https://www.webpages.uidaho.edu/ngier/ConfGandhi.htm,-52.52960230415192,3.0,1,3.0,0.375
93,Gandhi's views on truth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3705687/,-57.76459253674871,4.0,2,5.52371901428583,0.5248827916050821
90,Gandhi's views on truth,http://www.gandhi-manibhavan.org/gandhiphilosophy/philosophy_truth_meaning.htm,-58.06754208133127,4.0,3,7.52371901428583,0.6257397570041863
104,Gandhi's views on truth,https://www.newyorker.com/magazine/2018/10/22/gandhi-for-the-post-truth-age,-58.80436432539386,2.0,4,8.385072130432617,0.6297109029753999
94,Gandhi's views on truth,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/F86C65A2508AAC62A7ABBDC39CF4F20F/S0034670506000118a.pdf/div-class-title-nonviolence-and-gandhiandapos-s-truth-a-method-for-moral-and-political-arbitration-div.pdf,-59.36398011332929,0.0,5,8.385072130432617,0.5792272895702052
102,Gandhi's views on truth,https://www.bbc.co.uk/religion/religions/hinduism/people/gandhi_1.shtml,-59.72065505726802,1.0,6,8.74127931754064,0.562323539865957
97,Gandhi's views on truth,https://timesofindia.indiatimes.com/blogs/the-rock-bottom/relevance-of-gandhianism-in-todays-world/,-60.56795291765522,0.0,7,8.74127931754064,0.5391992049630693
103,Gandhi's views on truth,https://wagingnonviolence.org/2018/11/why-gandhis-ideas-continue-to-thrive-even-in-the-post-truth-era/,-61.32563861935273,3.0,8,9.687673947897826,0.5751913026764971
91,Gandhi's views on truth,https://berkleycenter.georgetown.edu/quotes/mohandas-gandhi-on-the-meaning-of-truth,-62.359712386883274,0.0,9,9.687673947897826,0.5650913068198872
98,Gandhi's views on truth,https://www.mkgandhi.org/truth/index.htm,-63.74600674800317,0.0,10,9.687673947897826,0.5557210560332706
95,Gandhi's views on truth,http://www.sidewaysthoughts.com/blog/2014/05/three-lessons-from-gandhis-experiments-in-truth/,-64.43915392856312,2.0,11,10.245559839200086,0.5877234684108908
99,Gandhi's views on truth,http://www.egyankosh.ac.in/bitstream/123456789/19476/1/Unit-6.pdf,-65.13230110912305,4.0,12,11.326512456909365,0.6497309361958362
100,Gandhi's views on truth,https://www.independent.co.uk/arts-entertainment/books/features/thrill-of-the-chaste-the-truth-about-gandhis-sex-life-1937411.html,-65.13230110912305,0.0,13,11.326512456909365,0.6497309361958362
101,Gandhi's views on truth,https://unesdoc.unesco.org/ark:/48223/pf0000071082,-65.13230110912305,1.0,14,11.58247048171918,0.6644136417258222
92,Gandhi's views on truth,http://iosrjournals.org/iosr-jhss/papers/Vol18-issue4/H01846769.pdf,-65.13230110912305,3.0,15,12.33247048171918,0.7074364348407158
89,Gandhi's views on truth,http://www.yourarticlelibrary.com/mahatma-gandhi/mahatma-gandhis-views-on-truth/38535,-65.13230110912305,3.0,16,13.066422108073859,0.7495386334767119
