,Query,URL,score,Ranking,QL_rank,DCG,NDCG
549,Elon musk speech,https://www.youtube.com/watch?v=wD3pflBggMQ,-48.58983224036908,3.0,0,3.0,0.75
542,Elon musk speech,https://www.wired.com/story/elon-musk-tesla-twitter-sec-settlement/,-49.331769585098456,1.0,1,4.0,0.5
553,Elon musk speech,https://www.fearlessmotivation.com/2017/08/31/elon-musk-greatest-motivational-speeches/,-49.43404843421887,4.0,2,6.52371901428583,0.6199062332840657
552,Elon musk speech,https://www.npr.org/2019/09/29/765526405/elon-musk-unveils-spacexs-new-starship-designed-to-fly-to-the-moon-mars-and-beyo,-49.893238941683194,3.0,3,8.023719014285831,0.6406818138552262
551,Elon musk speech,https://www.cnbc.com/2019/07/18/neuralink-exec-be-careful-telling-elon-musk-something-is-impossible.html,-49.8932389416832,3.0,4,9.31574868850601,0.6539007875496867
546,Elon musk speech,https://www.barrons.com/articles/tesla-ceo-elon-musk-sec-response-51552397330,-50.183521795835034,1.0,5,9.702601495740552,0.6143283495926277
554,Elon musk speech,https://www.cnn.com/2019/03/11/tech/elon-musk-deadline-sec/index.html,-50.77130846073716,1.0,6,10.058808682848575,0.5841805129504262
540,Elon musk speech,https://www.inc.com/minda-zetlin/elon-musk-fails-public-speaking-101-heres-why-we-hang-on-every-word-what-you-can-learn-from-him.html,-51.074738890157064,3.0,7,11.058808682848575,0.607004330279423
547,Elon musk speech,https://www.autoblog.com/2015/12/05/full-text-of-elon-musks-paris-cop21-speech/,-51.13357939018,4.0,8,12.32066818999149,0.642871365059825
541,Elon musk speech,https://singjupost.com/elon-musks-commencement-speech-at-caltech-full-transcript/,-51.34667260564072,4.0,9,13.524788172647416,0.6739429533665524
556,Elon musk speech,https://www.investopedia.com/articles/personal-finance/061015/how-elon-musk-became-elon-musk.asp,-51.43368398263034,2.0,10,14.10291782528319,0.673641551318566
557,Elon musk speech,https://techcrunch.com/2018/12/27/elon-musk-argues-comments-on-twitter-are-protected-speech-in-request-to-dismiss-pedo-guy-lawsuit/,-52.06513759418495,1.0,11,14.38186077093432,0.6605615648511604
550,Elon musk speech,https://www.cnbc.com/2018/03/16/elon-musk-on-inspiration-and-success.html,-52.63765678695627,3.0,12,15.19257523421628,0.6727472362937842
544,Elon musk speech,http://commencement.caltech.edu/archive/speakers/2012_address,-54.46018791485108,4.0,13,16.243173374365053,0.7029185626667569
543,Elon musk speech,https://www.businessinsider.com/elon-musk-mars-iac-2017-transcript-slides-2017-10,-54.74786998730286,4.0,14,17.267005473604314,0.7390386288030399
539,Elon musk speech,https://www.ted.com/speakers/elon_musk,-55.28686648803554,4.0,15,18.267005473604314,0.7735620194498563
555,Elon musk speech,https://podcastnotes.org/2019/08/27/elon-commencement-speech/,-55.7286992403146,3.0,16,19.000957099958992,0.7963921436474809
545,Elon musk speech,https://gist.github.com/johnz133/7bf10e77d8b994bae743,-56.53962945653093,4.0,17,19.960206966231517,0.8282722053815851
548,Elon musk speech,https://mycourses.aalto.fi/mod/resource/view.php?id=160915,-58.619070998210745,1.0,18,20.195615879598154,0.8299335116150902
